,aviso,classification
12168,"Ayudante de Publicidad Cugat Río Negro(Cartelista) ¿Te sientes preparado para nuevos desafíos?, Supermercados Cugat, en su política de constante crecimiento requiere Ayudante de Publicidad para su nueva sucursal con pronta inauguración en la comuna de Río Negro. Sus principales funciones serán:<br /><br />-Preparar y confeccionar carteles solicitados por las distintas secciones del local.<br />-Publicar las distintas actividades y noticias derivadas de la Administración.<br />-Instalar los objetos decorativos en el local para promocionar algún artículo o resaltar alguna fecha.<br /><br />Se requiere persona pro activa, dinámica, con excelente disposición al cumplimiento de sus labores. Por Turnos - Experiencia en el cargo o similar<br />- Disponibilidad para trabajar en Turnos Rotativos. ",Not WFH
12169,"Práctica de Periodismo- webserie Gringolandia Nos encontramos en la búsqueda de estudiante en práctica de la carrera de Periodismo, para apoyo al área de  comunicación estratégica y relaciones publicas.

Deberá apoyar la gestión de comunicaciones de la webserie, redacción de noticias y distribución de contenido en nuestros distintos medios sociales- Facebook, twitter, instagram.

-Buscamos alguien pro-activo y creativo. Interés por el cine y los medios digitales.

Practica part-time/independiente y remoto. Posibilidades de crecimiento dentro de la productora. También puede enmarcarse como proyecto titulo.

Link a la webserie:
http://www.youtube.com/watch?v=qE1skoCj1Nw&list=PLucoSMfyZ6plVIa-WVhxIVPw3KHy-3McV Práctica Profesional -Manejo en medios sociales: instagram, twitter, Facebook.
-Capacidad para auto-gestionar sus tiempos y cumplir sus plazos.
-Dominio de Ingles es un plus.
-Necesitas tener un laptop o computador personal. remoto",WFH
12170,"Asistente de Audiovisuales-Administración Campus San Joaquín Nuestra Universidad requiere, Asistente de Audiovisuales para la Administración del  Campus San Joaquín, Responsable de los requerimientos diarios de soporte audiovisual, de los académicos del Campus San Joaquín, con los equipos que tiene a su cargo. Además responsable de resguardar la seguridad de los espacios físicos encomendados.

Principales tareas:

1.Responsable del equipamiento que está a su cargo, esto significa que debe efectuar la mantención preventiva y solicitar la mantención correctiva o reparación de los  equipos a su cargo, cuando corresponda Llevar las programaciones de mantenimiento, registros e historiales de uso por equipo;
2.Satisfacer las necesidades de los usuarios (académicos, funcionarios y alumnos) que solicitan el servicio;
3.Traslado y retiro de equipos audiovisuales;
4.Instalación de equipos y habilitación de éstos, tales como: video, retroproyector o infocus, computador con retroproyector, telón, retroproyector con video, transparencias, amplificador, micrófono, proyector de diapositivas, datashow, controles remoto,  etc;
5.Encargado de los sectores asignados, velar por la mantención general del edificio y cierre general de este. Asignar y supervisar las  tareas del personal de aseo del sector;
6.Encargado de las carteleras del campus, poner y retirar afiches, carteles, avisos varios y mantenerlas con publicaciones al día y presentables (limpias);
7.Colaborar con el encargado de espacios físicos y salas.

Esporádicas:

1.Cotización de repuestos y equipos audiovisuales. Presentarlos oportunamente para su tramitación;
2.Colaborar ocasionalmente al Encargado de Servicios Generales, conduciendo vehículos de la Administración.

 Jornada Completa -Técnico Audiovisual, Técnico Electrónico o carrera afín.
-Experiencia laboral requerida de 2 años en actividad similar;
-Competencias computacionales: Word Excel, y PowerPoint a nivel Básico, Bases de datos a nivel Básico, 
-Otras Competencias: responsabilidad, orientación al cliente, resolución de problemas, iniciativa, organización.
-Disponibilidad para trabajar horas extras.
-Licencia de Conducir, clase B.
-El horario de trabajo, es de 13.00 a 22.000 hrs. Campus San Joaquín",Not WFH
12171,"Actividad comercial horario flexible Si eres una persona emprendedora, trabajadora, responsable, proactiva, con iniciativa y que le gustan los desafíos...
Entonces esta Actividad independiente te puede interesar.
No necesitarás de experiencia previa, recibirás capacitación permanente y podrás realizarla en cualquier horario ya que es totalmente compatible con cualquier otra actividad.
Si te interesa conocernos, solicítanos una entrevista informativa. Free Lance Si eres una persona emprendedora, trabajadora, responsable, proactiva, con iniciativa y que le gustan los desafíos...
Entonces esta Actividad independiente te puede interesar.
No necesitarás de experiencia previa, recibirás capacitación permanente y podrás realizarla en cualquier horario ya que es totalmente compatible con cualquier otra actividad.
Si te interesa conocernos, solicítanos una entrevista informativa. santiago",Not WFH
12172,"Desarrollador Fullstack (Angular/React - PHP) Buscamos, a través de experiencias digitales, transformar los negocios de nuestros clientes para que sean capaces de mejorar, no solo su eficiencia, sino que la calidad de vida de sus usuarios.<br /><br />Somos un equipo de gente apasionada, curiosa y ambiciosa, comprometida en construir cosas únicas, basándonos en tres principios: somos obsesionados por el cliente, construimos a largo plazo y desafiamos a nuestra gente; pero entendiendo que cada uno tiene una vida fuera de su espacio de trabajo y que la gente trabaja mejor cuando es feliz en la casa y en la oficina.<br /><br />estamos en búsqueda de un Desarrollador Fullstack (Angular/React - PHP) altamente calificado para contribuir al desarrollo de soluciones tecnológicas. El candidato ideal tendrá conocimiento experto de procesos de desarrollo de software y experiencia en pruebas y evaluación de sistemas. Jornada Completa ? Ingeniero de Sistemas, Informático o de Computación.<br />? Experiencia en framework de desarrollo single page application, como por ejemplo Angular o React. PHP, Javascript<br />? Experiencia en framework  de desarrollo backend como Ruby on Rails, Django, etc.<br />? Conocimientos en alguna plataforma de cloud computing: Amazon Web Services, MS Azure, Google Cloud Platform ",Not WFH
12173,"Albañiles en altura Empresa Constructora necesita contratar con urgencia albañiles para realizar trabajos de estuco y maquillaje en fachada de edificio en altura. Trabajo en Estación Central. Jornada Completa Requiere tener el certificado de trabajo en altura, ya sea vigente o no. En caso de no estar vigente la empresa tiene convenio con la Mutual para realizar la prueba. ",Not WFH
12174,"Jefe de Centro Empresa Cermaq Chile, dedicada al rubro Acuicultura y Pesca, se encuentra en búsqueda de Jefes de Centros, para la zona de Aysén, quien estará encargado de cumplir que los volúmenes de producción se encuentren dentro del estándar y en  las fechas estipuladas, además de que los costos no excedan lo acordado por la gerencia de producción. Buscamos profesionales con al menos 3 años de experiencia en el cargo y manejo de equipos de trabajo  <br />Turnos corresponden a 14X14, con asignación de bono zona para aquellos que no son de la región.<br /><br />Cermaq se encuentra actualmente en busca de un Jefe de Centro para realizar las siguientes funciones:<br /><br />- Función 1: Supervisar la producción en el centro de engorda<br />- Función 2: Planificación de la producción del centro: biomasa a producir, consumo de alimento y solicitud de recurso humano. <br />- Función 3: Dirigir y controlar la alimentación de peces: a través de la calibración de equipos, elección de alimentos a entregar, cálculos de tasas y cálculos de crecimientos.<br /><br />Nuestro Candidato Ideal:<br />-Experiencia como Jefe de Centro, al menos 3 años de experiencia en centros de Producción de peces<br />-Ingeniero Acuícola, Ingeniero en Pesca<br /><br />Horario Laboral: Sistema de turno 14x14<br />Beneficios:<br />Seguro Complementario<br />Bono Zona Jornada Completa -Experiencia como Jefe de Centro, al menos 3 años de experiencia en centros de Producción de peces<br />-Ingeniero Acuícola, Ingeniero en Pesca Aysén, Aysén",Not WFH
12175,"Operador sala de máquinas - Planta Mostazal <br><span style=""font-size:16px"">¡Únete al equipo Garces Fruit, líder de la industria frutícola! Si tienes experiencia como operador en sala de maquinas, tenemos la oportunidad que estabas esperando para seguir avanzando. ¡Súmate!</span></br><br><span style=""font-size:16px"">En Garces Fruit buscamos Técnicos en refrigeración, o carrera a fin, para trabajar en la planta ubicada en San Francisco de mostazal VI Región, el objetivo del cargo es:</span></br><br><span style=""font-size:16px"">1.-Realizar el mantenimiento (correctivo y preventivo) interno de los equipos de frío</span></br><br><span style=""font-size:16px"">(frio, amoniaco y fumigación)</span></br><br><span style=""font-size:16px"">2.-Operar y mantener los sistemas de refrigeración.</span></br><br><span style=""font-size:16px"">3.-Dar cumplimiento al programa de mantenimiento anual (preventivas y correctivas)</span></br><br><span style=""font-size:16px"">4.-Mantener estándares altos de seguridad personal en prevención de riesgos</span></br><br><span style=""font-size:16px"">5.-Cumplir con los objetivos trazados de la unidad de mantención</span></br> Por Turnos <p><span style=""font-size:16px"">1) Estudios Técnicos o Ingeniería en Refrigeración</span></p><p><span style=""font-size:16px"">2) Experiencia de al menos 1 año en el cargo Operador Sala de Máquinas</span></p><p><span style=""font-size:16px"">3) Residencia en la zona</span></p> Agrícola Garcés - Planta Mostazal - Fundo Santa Margarita, San Francisco de Mostazal, Mostazal, Chile",Not WFH
12176,"Práctica Ingeniería Proyectos ¿Te encuentras en búsqueda de una empresa para realizar tu Práctica Profesional?<br />¡Postula y motívate a realizarlo en Copec! ¡Se parte de nuestra empresa y enfréntate a nuevos desafíos!<br /><br />En Copec estamos en búsqueda de un/a alumno/a de Ingeniería Civil en Obras Civiles, Ingeniería Civil o Ingeniería Civil Mecánica que quiera realizar su Práctica Profesional en nuestra área de Ingeniería Proyectos la cual forma parte de nuestra Gerencia de Ingeniería.<br /><br />¡Súmate a este gran equipo y aprenderás muchísimo junto a nosotros!<br /><br />¿Cuáles serían tus funciones?<br />- Participar de seguimiento de proyectos de las diversas áreas de la compañía.<br />- Apoyar en análisis y ordenamiento de datos.<br />- Responsable de revisión y ordenamiento de información técnica.<br />- Apoyar en la gestión de proyectos.<br />- Seguimiento de aprobaciones técnicas.<br />- Participar de procesos completos en la ejecución de proyectos.<br />- Participación activa en el equipo de trabajo y en reuniones de seguimiento de proyectos.<br />- ¡Ser creativo, pasarlo bien y aprender!<br /><br />En Copec la Diversidad e Inclusión entre sus trabajadores/as constituye un pilar fundamental para el desarrollo de una propuesta de valor sostenible y la vocación país que la caracteriza. Buscamos fomentar la formación de equipos multidisciplinarios, diversos e inclusivos, donde las distintas opiniones, talentos, características y condiciones sean respetadas y valoradas de manera de fortalecer la Compañía y asegurar el logro de los objetivos estratégicos.<br /><br />¡Te invitamos a ser parte de nuestro equipo! Mixta (Teletrabajo + Presencial) Requisitos:<br /><br />- Estar cursando las carreras de: Ingeniería Civil en Obras Civiles, Ingeniería Civil o Ingeniería Civil Mecánica.<br />- Manejo de Autocad.<br />- Duración de la práctica: 3 meses.<br />- Disponibilidad para comenzar en Diciembre.<br />- Modalidad Mixta (Oficina Corporativa 2 días, Teletrabajo 3 días)<br />- Contar con seguro escolar. Isidora Goyenechea, Las Condes, Chile",WFH
12177,"Profesional Superior - Programa English Online - Universidad de Concepción (Jornada Completa) <br><span style=""font-size:16px"">Se requiere cargo de Profesional Superior, en jornada completa, para desempeñar funciones dentro del Programa English Online, dependiente de la Dirección de Docencia, de la Universidad de Concepción.</span></br><br><span style=""font-size:16px"">Funciones del cargo:</span></br><br><span style=""font-size:16px"">• Impartir clases de inglés comunicativo de acuerdo con la carga asignada y a las especificaciones requeridas.</span></br><br><span style=""font-size:16px"">• Asumir tareas de coordinación de los diferentes cursos cuando sea requerido.</span></br><br><span style=""font-size:16px"">• Participar en reuniones de coordinación de trabajo del Programa.</span></br><br><span style=""font-size:16px"">• Crear actividades de aprendizaje comunicativas basadas en el syllabus del Programa UdeC English Online y mantener al día, en forma organizada, un portafolio físico y/o virtual de todo el material.</span></br><br><span style=""font-size:16px"">• Contribuir a gestionar la elaboración de material audiovisual para las actividades que sean necesarias.</span></br><br><span style=""font-size:16px"">• Desarrollar trabajo de tutorías manteniendo un canal de comunicación permanente con las y los estudiantes.</span></br><br><span style=""font-size:16px"">• Crear material para las evaluaciones (entrevistas orales y pruebas).</span></br><br><span style=""font-size:16px"">• Elaborar planillas con las calificaciones finales obtenidas por los alumnos.</span></br><br><span style=""font-size:16px"">• Completar el registro de asistencia a clase y de las actividades desarrolladas. </span></br><br><span style=""font-size:16px"">• Actualizar conocimientos leyendo bibliografía en el área de la lingüística aplicada, CALL, TBLT, TEFL /TESOL, aplicación de las TICS y WEB2 en la enseñanza-aprendizaje de idiomas.</span></br><br><span style=""font-size:16px"">• Contribuir al desarrollo de proyectos de financiamiento externo e interno.</span></br><br><span style=""font-size:16px"">• Capacitarse para la obtención de grados académicos.</span></br><br><span style=""font-size:16px"">• Innovar y evaluar permanentemente sus prácticas pedagógicas en el aula.</span></br><br></br><br><span style=""font-size:16px"">* Código de publicación: 2023/041.</span></br><br><span style=""font-size:16px"">** El cargo se desempeñará en la ciudad de Concepción.</span></br> Jornada Completa <p><span style=""font-size:16px"">• Título profesional: Profesor de inglés.</span></p><p><span style=""font-size:16px"">• Grado académico de Magister en la Enseñanza del Inglés.</span></p><p><span style=""font-size:16px"">• Conocimiento del uso de Tics en la enseñanza del inglés, por ejemplo, Genially, Kahoot, Mentimeter, Canva.</span></p><p><span style=""font-size:16px"">• Manejo de Word, Excel y Power Point.</span></p><p><span style=""font-size:16px"">• Manejo de plataformas de trabajo virtual: Teams, Canvas, Zoom, Meet.</span></p><p><span style=""font-size:16px"">• Manejo de redes sociales como Instagram, Facebook y Google sites y generar contenido académico para éstas.</span></p><p><span style=""font-size:16px"">• Mínimo 3 años de experiencia en educación superior en el área de enseñanza del inglés, en especial inglés comunicativo en nivel básico e intermedio.</span></p><p><span style=""font-size:16px"">• Experiencia en la preparación de exámenes de inglés internacionales como Toefl iBT.</span></p><p><span style=""font-size:16px"">* Código de publicación: 2023/041.</span></p><p><span style=""font-size:16px"">** El cargo se desempeñará en la ciudad de Concepción.</span></p><p><span style=""font-size:16px"">Disponibilidad: Inmediata. </span></p><p><span style=""font-size:16px"">Recepción de Antecedentes: 12/05/2023.</span></p><p><span style=""font-size:16px"">La Comisión de Contratación del Organismo seleccionará al o la Ganador/a de Concurso de la preselección definida por la Dirección de Personal. Los/as postulantes que cumplan requisito deben remitir Curriculum Vitae actualizado que incluya tres contactos de referencias profesionales y certificado de título profesional o técnico (todo consolidado en un solo archivo en formato PDF).</span></p><p><span style=""font-size:16px"">*** En caso de personas extranjeras, adjuntar como antecedente permiso de residencia o documento que le habilite para trabajar en Chile. </span></p><p><span style=""font-size:16px"">La Universidad de Concepción brinda igualdad de oportunidades y equidad de género y se acoge a la Ley 21.015 de Inclusión Laboral para personas con Discapacidad.</span></p> Universidad de Concepción, Concepción, Chile",Not WFH
12178,"Asistente de Recursos Humanos 30 hrs, Formato SuperBodega aCuenta, Cartagena Queremos contar contigo para:     

- Brindar servicio al local en temas relacionados con gestión de tiempo, ingresos, desvinculaciones, beneficios, entre otros.
- Informar al Gerente de Ventas y Jefe de Sala, acerca del uso de los implementos de seguridad de los colaboradores.
- Planificar la Malla horaria de los colaboradores del local.
- Asegurar que los colaboradores participen y completen tanto las capacitaciones presenciales como Online.
- Informar al Gerente de Ventas y su equipo de Jefes de Sala, acerca de los colaboradores que deben recibir retroalimentación en el mes.
- Coordinar celebraciones en el local, entre los que se cuentan: mejor colaborador, aniversario, fiestas especiales. Comisionista -Experiencia mínima 1 año en Recursos Humanos
-Estudios en Recursos Humanos Valparaíso",Not WFH
12179,"EJECUTIVO CALL CENTER PART-TIME $213.000 LÍQUIDO  Buscamos de forma urgente 30 agentes telefonicos para trabajar en plataforma de atencion al cliente.

Necesitamos incoporar a la brevedad posible personas con marcada orientación al cliente y al trabajo bajo presión, con disponibilidad Inmediata para trabajar de lunes a domingo en turnos rotativos de 33 horas semanales.

Requisitos:
Contar con un nivel computacional usuario (Microsoft office).
Poseer experiencia en call center o en atención de público.

Renta líquida $213.000 x 33 Horas
JORNADA NO COMPATIBLE CON ESTUDIANTES.


Ofrecemos:
* Incorporarse a una empresa lider en el rubro.
* Estabilidad laboral.
* Renta acorde al mercado
* Buen clima laboral
* Opciones de crecimiento dentro de la empresa
* Otros Por Turnos Los requisitos mínimos para el cargo son:
* Estudios secundarios completos.
* Experiencia en Call Center
* Flexibilidad Horaria
* Manejo de Internet y Microsoft Office a nivel usuario (requisito excluyente).
* Excelente dicción y ortografía.
* SERVICIO COMPATIBLE CON ESTUDIANTES Santiago Centro. ",Not WFH
12180,"Analista Control de Procesos (Carrera Técnica) Importante y prestigiosa Universidad Privada requiere a Analista Control de Procesos, para Analizar la correcta implementación, eficacia y eficiencia de los planes de mitigación relacionados con los riesgos encontrados por la Dirección de Control de Procesos, a fin de asegurar el logro de objetivos estratégicos de la Institución.<br>Funciones especificas:<br>• Identificar las fuentes de riesgos presentes en la universidad, analizando y evaluando los riesgos.<br>• Analizar, monitorear y controlar las actividades en forma continua, periódica e independiente en todas las fases del proceso. <br>• Identificar, estandarizar y resguardar el capital intangible utilizado en los procesos ,según la profundidad de la etapa de levantamiento, <br>• Analizar, gestionar y establecer la matriz de riesgos de la universidad.<br>• Asegurar la continuidad operacional de los servicios entregados.<br>• Controlar e informar el estado de indicadores de control de gestión a las autoridades, entre otras labores.<br>Se ofrece una renta líquida aproximada de: $ 788.337 más una serie de beneficios una vez que pase a contrato indefinido. <br>El trabajo será bajo modalidad teletrabajo entre 09:00 a 18:00 horas.<br>Finalmente nuestra oferta se enmarca en la Ley 21.015 de inclusión laboral, se parte de nuestra organización. Teletrabajo - Titulado de carreras Técnicas.<br />- Experiencia en levantamiento de procesos y gestión de riesgos.<br />- Idealmente tener experiencia en sistema de gestión de calidad (ISO)<br />- Excel intermedio, avanzado.<br /><br /> ",WFH
12181,"JEFE DE TERRENO LAT 2X220 kV Bbosch busca Ingeniero Civil Eléctrico, Constructor Civil o similar, cuya función será la de dirigir la construcción y montaje de obras, desde el inicio de instalaciones de faena hasta la devolución de terreno.<br /><br />Idealmente, deseable experiencia en tendido de 4 conductores por fase y de trabajo en líneas de Alta tensión en servicio, LAT 2X220 kV (excluyente).<br /><br />Con conocimiento de disciplina Civil - estructural y Electromecánica de AT, generación seguimiento y ejecución de permisos de  trabajo con desconexiónes. <br /><br />Manejo de programación Gantt en Project<br /><br />Con habilidades para dirigir y programar recursos, cumplimientos de metas de producción, calidad y accidentabilidad.<br /><br />Experiencia mínima de 8 años de los cuales 5 años por lo menos con experiencia en terreno en obra de LAT similares a las descritas. Jornada Completa Idealmente, deseable experiencia en tendido de 4 conductores por fase y de trabajo en líneas de Alta tensión en servicio, LAT 2X220 kV (excluyente).<br /><br /> <br /><br />Con conocimiento de disciplina Civil - estructural y Electromecánica de AT, generación seguimiento y ejecución de permisos de  trabajo con desconexiónes. <br /><br />Manejo de programación Gantt en Project<br /><br /> Con habilidades para dirigir y programar recursos, cumplimientos de metas de producción, calidad y accidentabilidad.<br /><br /> Experiencia mínima de 8 años de los cuales 5 años por lo menos con experiencia en terreno en obra de LAT similares a las descritas. Quilicura",Not WFH
12182,"Operario Multifuncional con Licencia Clase D - Puerto Montt. Importante empresa del rubro de suministro de energía térmica se encuentra en la búsqueda de Operario Multifuncional con Licencia Clase D para Puerto Montt.<br /><br />Funciones a realizar:<br /><br />•Reposición de productos.<br />•Ordenar productos.<br />•Movilizar productos a través de Grúa Horquilla.<br />•Apoyo a operador de Calderas.<br />•Entre otras.<br /><br /><br />Requisitos:<br />•Enseñanza media completa.<br />•Experiencia de al menos 6 meses en el cargo.<br />•Licencia clase D al día.<br />•Disponibilidad para trabajar en modalidad de turnos.<br />•Conocimientos básicos de soldadura.<br /><br /><br />Se Ofrece:<br />•Seguro complementario cuando pasa a indefinido (sin costo). Si incorpora cargas tiene un cargo adicional.<br />•Bono de 22,5 horas extras adicionales por marzo y septiembre.<br />•Reajuste IPC (marzo y septiembre).<br />•Bus de acercamiento (de lunes a viernes. y no disponible los fines de semana, pero se les reembolsa el pasaje por los días que no puedan utilizar el bus)<br /><br /><br />Horario de trabajo y renta: <br />•Turnos rotativos 6x1 (tarde); 6x2 (mañana) & 6x3 (noche) de 08:00 a 16:00 hrs; 16:00 a 24:00 hrs. & 24:00 a 08:00 hrs.<br />•$417.000 Liq. App. Por Turnos •Enseñanza media completa.<br />•Experiencia de al menos 6 meses en el cargo.<br />•Licencia clase D al día.<br />•Disponibilidad para trabajar en modalidad de turnos.<br />•Conocimientos básicos de soldadura. Puerto Montt",Not WFH
12183,"Ejecutivo Comercial Importante empresa de seguridad se encuentra en búsqueda de Ejecutivo Comercial de carácter consultivo.<br />Dentro de sus principales funciones tendrá que asistir a mas de 20 reuniones comerciales mensuales, las cuales se le asignaran directamente desde la empresa con el objetivo de cerrar negocios. Ademas deberá generar reuniones comerciales que puedan ser oportunidades de negocio a través de sus propios contactos.Trabajará directamente con el equipo comercial en el día a día. La reuniones serán de forma virtual ( tele trabajo ) y también de forma presencial si es necesario, por lo que se requiere movilización propia ( licencia de conducir).Ademas aparte de la venta de servicios de seguridad, otra labora importante a realizar es la administrativa: ir completando día a día el CRM o software para el seguimiento comercial de clientes/reuniones.<br />Se realizará 1 mes de capacitación para el buen funcionamiento en la posición. Teletrabajo Ideal estudios técnicos, pero no excluyente.<br />Experiencia en venta consultiva<br />Licencia de conducir y movilización propia.<br />Capacidad de trabajo en equipo, pro actividad, iniciativa, orientación al cliente, empatía. Recoleta",WFH
12184,"Asistente Social Importante empresa de consumo masivo requiere Asistente Social para proyecto de elaboración de informes sociales en relación con el otorgamiento de becas escolares.
La principal función de esta persona será confeccionar los informes sociales de los alumnos que postulan las corporaciones municipales de educación,  debiendo considerarse también la realización de labores administrativas relacionadas con esto, tales como: 
- Coordinación de visitas domiciliarias para hacer los informes (el transporte corre por cuenta de la empresa) 
- Confección de base de datos de postulaciones. 
- Confección de las cartas con los resultados de las postulaciones 
- Coordinación del envío de cartas con los resultados. 

La elaboración de las funciones administrativas pueden ser efectuadas tanto desde el domicilio de la persona como en las dependencias de la empresa.
La extensión del proyecto dependerá de la cantidad de informes a realizar, se calcula entre 1 y 2 meses. Se efectuará pago a honorarios por informe, contra boleta de servicios. Media Jornada Título profesional de Asistente Social.
Experiencia previa en elaboración de informes sociales, preferentemente con niños en ámbito escolar.
Disponibilidad para trabajar en horario flexible durante el proyecto.
 Santiago",Not WFH
12186,"Diseñador (a) Vestuario especialista en Jeans Si eres una persona innovadora, creativa y quieres incorporarte al mejor Retail, esta es tu oportunidad.
Falabella requiere incorporar para su Área de Diseño de la Gerencia de Damas, DISEÑADOR(A) DE VESTUARIO cuya principal función será elaborar y confeccionar los diseños de la línea de productos asignada.
Orientamos la búsqueda a personas creativas, adaptables y con capacidad de trabajo en equipo que cuenten con una experiencia de un mínimo de 3 años en el rubro de vestuario y jeanería, deseable también experiencia en Retail y en desarrollo de colecciones y análisis de tendencias.	 Jornada Completa - Título de Diseñador (a) de Vestuario
- Experiencia de al menos 3 años en el rubro de vestuario y jeanería.
- Experiencia en creación de colecciones-fichas técnicas.
- Dominio de idioma ingles fluido.
- Conocimientos de programas de diseño , photoshop, ilustrator-corel.
- Manejo avanzado del programa Word.

 Santiago",Not WFH
12187,"Auxiliar Administrativo (junior) Las Condes Importante red educacional requiere para Preuniversitario ubicado en Sede Apoquindo, Las Condes, Auxiliar Administrativo.

Entre sus funciones se encuentran:
Realizar trámites administrativos y bancarios
Realizar labores de mantención y arreglos menores de instalaciones
Portería y recepción de público general

Se ofrece:
Contrato de trabajo
Horario de Lunes a Viernes con turnos de mañana y tarde con 2 sábados en el mes


Requisitos:
Experiencia de 2 años en cargo de auxiliar o junior
Capacidad para trabajar en equipo
Disposición a recibir órdenes.
Importante: El postulante no debe estar estudiando debido a que el turno de tarde termina a las 20:50 hrs.


Interesados enviar CV con pretensiones de renta a seleccionrrhh@pedrodevaldivia.cl  indicando AUXILIAR LAS CONDES en el asunto
 Por Turnos Requisitos:
Experiencia de 2 años en cargo de auxiliar o junior
Capacidad para trabajar en equipo
Disposición a recibir órdenes.
Importante: El postulante no debe estar estudiando debido a que el turno de tarde termina a las 20:50 hrs.


 Las Condes",Not WFH
12188,"Jefe de Remuneraciones y Administrador  de Contratos Prestigiosa empresa con presencia a nivel internacional, requiere incorporar a Jefe de Remuneraciones y Administrador de Contratos cuya misión es planificar, revisar  y ejecutar el correcto y oportuno pago de remuneraciones cumpliendo con las legislación vigente.<br> Entre sus principales funciones se encuentran:<br>- Optimizar y automatizar continuamente los procesos de remuneraciones.<br>- Otorgar V°B° a nóminas de pago (sueldos, anticipos, finiquitos, imposiciones y pagos a terceros).<br>- Entregar en la fecha indicada la nómina a Tesorería para la gestión con las instituciones bancarias.<br>- Aplicar IPC dos veces al año a la planilla de remuneraciones, gestionando el reajuste de convenios de la compañía.<br>- Administrar el sistema de remuneraciones (Payroll u otro ), definiendo los comportamientos y fórmulas de cada ítem.<br>- Confeccionar formatos de contratos y anexos de situaciones especiales, cargándolo a la base de Payroll.<br>- Mantener el sistema de comisiones, incorporando actualizaciones.<br>                  <br> Mixta (Teletrabajo + Presencial) - Al menos 5 años de experiencia en el cargo , conocimientos de manejo de nomina en Payroll u otro software gestión de compensaciones, legislación laboral y tributaria y  administración de contratos.<br />- Dominio avanzado de Payroll-SAP, Talana, Buck- u otro software de remuneraciones.<br />- Dominio avanzado de normativa laboral-tributaria<br />- Conocimientos contables, ideal conocimientos en gestión de compensaciones, valoración de cargos tales como metodología HAY u otro<br />- Office y Excel avanzado, se requerirá certificación. <br />-Deseable nivel de inglés intermedio-avanzado. <br />- Alta capacidad de gestionar equipos y de sacar lo mejor de estos. <br />- Profesional detallista, proactivo, con vocación de servicio y asertivo comunicacionalmente. Víctor Uribe, Quilicura, Chile",WFH
12190,"Atención Ejecutiva/Sucursal Telecomunicaciones - Concepción ¡Marcamos la diferencia ayudándote a conseguir tus sueños!<br /><br />Estamos presentes en 13 países con más de 150.000 colaboradores quienes son nuestros socios estratégicos que nos posiciona como líderes en atención al cliente y externalización de servicios (BPO) en Latinoamérica; siendo así el único Contact Center dentro del Ranking de Great Place To Work. <br /><br />Función Principal: Atender, vender y fidelizar al cliente con los productos de la empresa de telecomunicaciones desde la misma sucursal.<br /><br />¿Qué buscamos?<br />Enseñanza media completa.<br />Experiencia Mínima de 6 meses en atención al cliente y ventas presenciales o por teléfono. (Exp. Trabajando bajo comisiones o metas de cualquier producto).<br />Extranjeros con RUT + visa definitiva + estudios apostillados.<br />Disponibilidad para trabajar 45 horas semanales en turnos rotativos de lunes a domingo  de 09:00 a 22:00 horas.<br />Lugar de trabajo: TELETRABAJO, luego de la contingencia será de modo presencial.<br /> <br />¿Qué ofrecemos?<br />Sueldo base $320.500 + Bono por entrenamiento $ 100.000 + Colación $29.993 + Movilización $19.931 + Gratificación anual + Incentivo variable máximo $420.000  (Sujeto al cumplimiento de indicadores) (Renta líquida aproximada $695.780). <br />Capacitación remunerada.<br />Desarrollo de línea de carrera<br />Convenio con casas de estudios, cajas de compensación, salud, seguro médico y dental.<br />Descuentos en áreas recreacionales.<br />Excelente clima laboral.<br /> <br /><br />                 ¡ÚNETENOS A NUESTRO EQUIPO GANADOR!<br /> ¡Postula con nosotros que contamos con muchos más beneficios pensados en ti! Teletrabajo Enseñanza media completa.<br />Experiencia Mínima de 6 meses en atención al cliente y ventas presenciales o por teléfono. (Exp. Trabajando bajo comisiones o metas de cualquier producto).<br />Extranjeros con RUT + visa definitiva + estudios apostillados.<br />Disponibilidad para trabajar 45 horas semanales en turnos rotativos de lunes a domingo  de 09:00 a 22:00 horas.<br />Lugar de trabajo: TELETRABAJO, luego de la contingencia será de modo presencial. (RENGO 94)",WFH
12192,Reponedor Reposicion en tienda retail Par time Part Time no tiene requisitos previos Copiapo,Not WFH
12193,"Administrador de servicios Ti. $1.250.000 Liquidos <br>Importante empresa de telecomunicaciones requiere incorporar a Administrador/a servicios TI, para trabajar en la comuna de Santiago Centro, por reemplazo de licencia medica inicialmente.</br><br></br><br><strong>Funciones</strong></br><br>- Generar los procedimientos y pautas de trabajo para las actividades del Nivel 1</br><br>- Responsable de la Co-Creación de valor (en conjunto con el cliente), de los servicios entregados.</br><br>- Aplicar las técnicas, herramientas, procedimientos y tecnologías necesarias para llevar a cabo sus funciones.</br><br></br><br><strong>Condiciones laborales:</strong></br><br>Modalidad hibrida: presencial y teletrabajo</br><br>Horario laboral: lunes a viernes de 09:00 a 18:30 hrs</br><br>Renta líquida: $1.250.000</br><br></br><br><strong>Requisitos</strong></br><br>-Conocimientos avanzados en administración de sistemas operativos Linux</br><br>-Conocimientos generales en soluciones TI: Administración de SSOO Sistemas operativos Windows, Administración Azure, Administración Dominios MS</br> Jornada Completa <p>-</p> Santiago Centro, Santiago, Chile",WFH
