,id,classifier_id,ad_id,classification,ease,workday,timestamp,estado
7095,,11,3810589.0,Not WFH,easy,part,,1.0
7111,,8,1579623.0,Not WFH,medium,full,,1.0
7113,,35,4058481.0,Not WFH,easy,part,,1.0
7118,,22,254089.0,Not WFH,easy,full,,1.0
7119,,32,3265987.0,Not WFH,medium,not clear,,1.0
7126,,25,3005374.0,WFH,easy,part,,1.0
7127,,34,946176.0,Not WFH,easy,full,,1.0
7141,,11,3886311.0,Not WFH,easy,full,,1.0
7155,,8,1723957.0,Not WFH,easy,full,,1.0
7158,,20,3843303.0,Not WFH,easy,full,,1.0
7173,,33,423530.0,Not WFH,easy,full,,1.0
7186,,34,4256742.0,WFH,easy,not clear,,1.0
7191,,11,5584815.0,WFH,easy,full,,1.0
7192,,34,3543970.0,Not WFH,easy,full,,1.0
7205,,8,1482635.0,Not WFH,easy,full,,1.0
7209,,34,5156905.0,WFH,easy,full,,1.0
7215,,2,5140727.0,WFH,easy,full,2024-07-23 05:06:41.097637,1.0
7219,,45,5471956.0,Not WFH,easy,full,,1.0
7278,,34,3915443.0,Not WFH,easy,part,,1.0
7279,,31,785636.0,WFH,easy,not clear,,1.0
7302,,3,5031433.0,WFH,easy,not clear,,1.0
7316,,8,2921753.0,Not WFH,easy,not clear,,1.0
7330,,11,5228298.0,Not WFH,easy,full,,1.0
7337,,8,4052790.0,WFH,medium,full,,1.0
7338,,34,4142118.0,Not WFH,medium,not clear,,1.0
7348,,31,4211188.0,Not WFH,easy,full,,1.0
7352,,28,535768.0,Not WFH,easy,part,,1.0
7353,,8,3870644.0,Not WFH,easy,full,,1.0
7354,,8,3385335.0,Not WFH,hard,part,,1.0
7365,,28,817652.0,Not WFH,easy,not clear,,1.0
7376,,26,5478608.0,WFH,medium,full,2024-07-15 23:11:11.002154,1.0
7391,,38,5660406.0,Not WFH,easy,full,2024-07-24 04:59:03.13251,1.0
7392,,11,3254090.0,Not WFH,easy,not clear,,1.0
7395,,23,3399968.0,WFH,easy,full,,1.0
7397,,11,5588452.0,WFH,easy,full,,1.0
7410,,8,4073936.0,WFH,easy,not clear,,1.0
7414,,11,3987574.0,Not WFH,easy,full,,1.0
7420,,11,5512424.0,WFH,easy,full,,1.0
7421,,34,5023035.0,WFH,easy,full,,1.0
7424,,34,2168684.0,Not WFH,easy,full,,1.0
7428,,38,4152922.0,Not WFH,easy,full,2024-08-01 02:20:15.565804,1.0
7429,,8,584996.0,Not WFH,easy,full,,1.0
7441,,34,1209554.0,Not WFH,easy,full,,1.0
7446,,29,5089733.0,Not WFH,medium,full,,1.0
7453,,34,5129893.0,Not WFH,easy,full,,1.0
7455,,8,3977290.0,Not WFH,easy,full,,1.0
7463,,22,1296387.0,Not WFH,easy,full,,1.0
7467,,13,2965048.0,Not WFH,easy,full,,1.0
7476,,11,3786432.0,Not WFH,easy,full,,1.0
7479,,35,3167387.0,WFH,easy,full,,1.0
7489,,34,5138342.0,WFH,easy,not clear,,1.0
7497,,8,3873612.0,Not WFH,easy,full,,1.0
7498,,43,2430125.0,Not WFH,easy,full,,1.0
7502,,34,4127510.0,WFH,easy,full,,1.0
7511,,11,4120886.0,Not WFH,easy,full,,1.0
7515,,26,5305581.0,Not WFH,easy,full,2024-07-25 05:11:23.580431,1.0
7523,,11,4002350.0,Not WFH,medium,full,,1.0
7524,,20,2115052.0,Not WFH,easy,part,,1.0
7555,,11,3803804.0,Not WFH,medium,not clear,,1.0
7564,,11,3519317.0,Not WFH,medium,part,,1.0
7575,,37,5659090.0,WFH,medium,not clear,,1.0
7579,,49,5591056.0,Not WFH,easy,full,2024-07-18 23:18:05.287671,1.0
7583,,11,5385902.0,WFH,medium,full,,1.0
7584,,11,3957684.0,Not WFH,medium,full,,1.0
7600,,11,4466189.0,WFH,easy,not clear,,1.0
7607,,34,4297995.0,WFH,medium,full,,1.0
7608,,11,5342805.0,Not WFH,hard,full,,1.0
7610,,14,5638031.0,Not WFH,easy,full,,1.0
7630,,8,634718.0,Not WFH,easy,full,,1.0
7642,,22,1997356.0,Not WFH,easy,full,,1.0
7643,,43,4085458.0,Not WFH,easy,full,,1.0
7649,,11,1176952.0,Not WFH,easy,full,,1.0
7654,,11,5341430.0,WFH,easy,not clear,,1.0
7664,,8,2612738.0,Not WFH,easy,full,,1.0
7668,,34,4052452.0,WFH,easy,full,,1.0
7671,,14,5625563.0,Not WFH,medium,full,,1.0
7683,,34,2638461.0,Not WFH,easy,part,,1.0
7684,,11,4149706.0,Not WFH,medium,full,,1.0
7687,,8,3996112.0,WFH,easy,full,,1.0
7696,,11,4114337.0,WFH,easy,full,,1.0
7702,,34,518805.0,WFH,easy,part,,1.0
7703,,8,3789617.0,Not WFH,easy,full,,1.0
7705,,8,728358.0,Not WFH,easy,full,,1.0
7707,,11,4070114.0,WFH,easy,part,,1.0
7709,,27,4145974.0,WFH,easy,full,,1.0
7732,,11,1447948.0,Not WFH,easy,not clear,,1.0
7737,,29,5495411.0,Not WFH,hard,full,,1.0
7748,,49,4531900.0,WFH,easy,not clear,2024-07-24 06:57:09.384813,1.0
7755,,8,3860728.0,Not WFH,medium,full,,1.0
7759,,34,3637243.0,Not WFH,easy,full,,1.0
7796,,11,5448024.0,WFH,easy,full,,1.0
7797,,11,4058476.0,Not WFH,medium,full,,1.0
7798,,8,3007001.0,Not WFH,easy,full,,1.0
7808,,8,4037325.0,WFH,easy,full,,1.0
7824,,8,3494824.0,Not WFH,medium,full,,1.0
7827,,9,5095994.0,Not WFH,easy,full,,1.0
7829,,8,3696073.0,Not WFH,medium,full,,1.0
7837,,11,5251420.0,Not WFH,medium,full,,1.0
7841,,11,4514446.0,Not WFH,medium,not clear,,1.0
7848,,8,1195593.0,Not WFH,easy,full,,1.0
7852,,8,3824691.0,Not WFH,easy,full,,1.0
7857,,11,3236508.0,Not WFH,easy,full,,1.0
7863,,20,3520978.0,Not WFH,medium,full,,1.0
7872,,34,3881112.0,Not WFH,easy,full,,1.0
7874,,8,4035956.0,Not WFH,easy,full,,1.0
7878,,11,3837977.0,Not WFH,medium,full,,1.0
7886,,24,3285123.0,Not WFH,easy,full,,1.0
7908,,11,5081137.0,Not WFH,easy,not clear,,1.0
7930,,46,2228357.0,Not WFH,easy,full,,1.0
7932,,43,4655347.0,WFH,easy,full,,1.0
7933,,8,3314145.0,Not WFH,easy,part,,1.0
7938,,17,1157960.0,Not WFH,easy,full,,1.0
7949,,8,3202531.0,Not WFH,easy,full,,1.0
7953,,11,3593124.0,Not WFH,easy,full,,1.0
7960,,24,3094503.0,Not WFH,easy,full,,1.0
7964,,26,4238564.0,Not WFH,easy,full,2024-08-14 22:03:47.844777,1.0
7966,,48,5379119.0,WFH,medium,full,,1.0
7991,,34,5597733.0,Not WFH,easy,full,,1.0
7993,,20,4213075.0,WFH,easy,not clear,,1.0
7994,,31,4170093.0,WFH,easy,full,,1.0
7995,,25,5357859.0,WFH,easy,full,,1.0
8026,,34,4356425.0,WFH,easy,full,,1.0
8027,,37,5068846.0,WFH,easy,full,,1.0
8040,,48,5505810.0,WFH,easy,not clear,,1.0
8049,,8,3876430.0,Not WFH,easy,full,,1.0
8052,,25,4084064.0,WFH,medium,full,,1.0
8053,,33,5310177.0,Not WFH,easy,full,,1.0
8061,,33,4054518.0,WFH,easy,full,,1.0
8067,,34,4307554.0,WFH,easy,not clear,,1.0
8070,,8,3969924.0,Not WFH,medium,full,,1.0
8073,,35,997270.0,Not WFH,easy,part,,1.0
8086,,49,5526569.0,WFH,easy,not clear,2024-07-23 00:36:23.222796,1.0
8104,,8,4094539.0,WFH,easy,full,,1.0
8105,,11,523926.0,Not WFH,easy,full,,1.0
8107,,52,4286904.0,Not WFH,easy,not clear,2024-07-25 15:08:09.743889,1.0
8115,,39,2202158.0,Not WFH,easy,full,,1.0
8129,,11,4090877.0,Not WFH,easy,full,,1.0
8130,,8,405788.0,Not WFH,medium,full,,1.0
8141,,11,5267309.0,Not WFH,easy,not clear,,1.0
8155,,27,3962175.0,Not WFH,hard,full,,1.0
8158,,32,5501213.0,WFH,easy,not clear,,1.0
8160,,45,4122976.0,Not WFH,medium,full,,1.0
8183,,8,4067191.0,WFH,easy,not clear,,1.0
8188,,26,5302946.0,WFH,easy,part,2024-08-14 18:19:53.518404,1.0
8193,,8,2058184.0,Not WFH,easy,full,,1.0
8194,,24,5597469.0,WFH,easy,part,,1.0
8201,,9,5453599.0,Not WFH,easy,full,,1.0
8216,,8,482628.0,Not WFH,medium,full,,1.0
8223,,15,5660539.0,WFH,easy,not clear,2024-07-22 17:26:35.802657,1.0
8227,,34,3960301.0,Not WFH,easy,full,,1.0
8248,,11,1052112.0,WFH,easy,full,,1.0
8251,,46,2315915.0,Not WFH,hard,not clear,,1.0
8257,,41,1832076.0,Not WFH,easy,full,,1.0
8266,,52,5594262.0,WFH,easy,full,2024-08-14 18:46:17.856039,1.0
8310,,11,4092406.0,Not WFH,easy,full,,1.0
8312,,8,3230433.0,Not WFH,medium,full,,1.0
8315,,19,4045407.0,WFH,easy,full,,1.0
8350,,34,2330536.0,Not WFH,easy,not clear,,1.0
8355,,8,3037016.0,Not WFH,medium,part,,1.0
8363,,36,401390.0,Not WFH,easy,full,,1.0
8365,,33,5429755.0,WFH,easy,not clear,,1.0
8369,,13,4145315.0,Not WFH,easy,full,,1.0
8370,,11,5600956.0,Not WFH,easy,full,,1.0
8377,,31,4049859.0,Not WFH,easy,not clear,,1.0
8379,,34,5626930.0,WFH,easy,full,,1.0
8384,,13,4470041.0,Not WFH,hard,full,,1.0
8389,,35,4148242.0,Not WFH,easy,full,,1.0
8397,,37,3058212.0,Not WFH,easy,part,,1.0
8398,,33,5208618.0,WFH,easy,not clear,,1.0
8405,,52,4209221.0,WFH,easy,not clear,2024-08-14 21:50:06.874618,1.0
8417,,11,5069656.0,WFH,easy,full,,1.0
8425,,8,3976459.0,Not WFH,easy,full,,1.0
8428,,25,3927927.0,Not WFH,easy,full,,1.0
8435,,8,3914302.0,Not WFH,easy,full,,1.0
8436,,37,3957750.0,Not WFH,easy,part,,1.0
8440,,41,5420835.0,WFH,easy,not clear,,1.0
8452,,2,5387120.0,WFH,easy,not clear,2024-07-17 21:32:06.424101,1.0
8461,,8,3334571.0,Not WFH,easy,full,,1.0
8472,,8,577044.0,Not WFH,easy,part,,1.0
8476,,34,4115250.0,WFH,easy,full,,1.0
8487,,11,2231486.0,Not WFH,hard,full,,1.0
8488,,20,3891406.0,Not WFH,easy,full,,1.0
8495,,33,5636245.0,Not WFH,easy,full,,1.0
8497,,11,3869609.0,Not WFH,easy,full,,1.0
8498,,11,391987.0,Not WFH,easy,part,,1.0
8522,,30,5100557.0,Not WFH,easy,full,,1.0
8532,,39,3403561.0,Not WFH,easy,full,,1.0
8538,,11,3352257.0,Not WFH,easy,full,,1.0
8548,,25,1411272.0,Not WFH,easy,full,,1.0
8549,,8,1326980.0,Not WFH,medium,full,,1.0
8550,,25,3835063.0,Not WFH,easy,full,,1.0
8556,,34,3869380.0,Not WFH,easy,full,,1.0
8558,,3,5669375.0,WFH,easy,not clear,,1.0
8559,,24,5358026.0,Not WFH,easy,full,,1.0
8560,,13,5592057.0,Not WFH,easy,full,,1.0
8573,,35,3845900.0,Not WFH,easy,full,,1.0
8581,,22,4131863.0,Not WFH,easy,full,,1.0
8584,,11,3423947.0,WFH,medium,part,,1.0
8589,,15,4127707.0,Not WFH,easy,full,2024-08-14 21:53:48.907335,1.0
8596,,8,4066825.0,WFH,easy,full,,1.0
8618,,34,5490076.0,WFH,hard,not clear,,1.0
8625,,47,5377025.0,Not WFH,easy,full,,1.0
8632,,11,5485483.0,Not WFH,easy,full,,1.0
8633,,13,4175353.0,WFH,medium,not clear,,1.0
8635,,11,3928381.0,Not WFH,easy,full,,1.0
8642,,11,2736460.0,Not WFH,easy,full,,1.0
8644,,2,5113918.0,WFH,easy,not clear,2024-07-18 02:15:18.200239,1.0
8645,,8,2606788.0,Not WFH,easy,part,,1.0
8649,,11,3277992.0,Not WFH,easy,full,,1.0
8650,,2,5539785.0,Not WFH,easy,full,2024-07-24 17:13:17.463649,1.0
8653,,25,3372504.0,Not WFH,easy,full,,1.0
8660,,8,955085.0,Not WFH,easy,not clear,,1.0
8672,,39,4395178.0,Not WFH,easy,not clear,,1.0
8677,,11,3355717.0,Not WFH,easy,full,,1.0
8701,,11,3917358.0,Not WFH,medium,not clear,,1.0
8703,,34,4506439.0,Not WFH,medium,full,,1.0
8707,,20,4200742.0,Not WFH,medium,full,,1.0
8708,,23,4091867.0,Not WFH,easy,part,,1.0
8710,,8,3962944.0,Not WFH,hard,full,,1.0
8712,,34,4326713.0,Not WFH,easy,full,,1.0
8714,,36,5149897.0,Not WFH,medium,full,,1.0
8715,,38,5348420.0,Not WFH,easy,full,2024-08-14 19:14:23.043143,1.0
8732,,25,4229382.0,Not WFH,easy,full,,1.0
8743,,8,1951270.0,Not WFH,easy,full,,1.0
8749,,34,4033004.0,WFH,easy,full,,1.0
8753,,37,2787920.0,Not WFH,easy,not clear,,1.0
8756,,34,1146109.0,Not WFH,easy,full,,1.0
8760,,11,5396672.0,Not WFH,easy,full,,1.0
8762,,27,4143594.0,WFH,easy,not clear,,1.0
8777,,11,1503496.0,Not WFH,medium,not clear,,1.0
8782,,44,4140470.0,WFH,easy,not clear,,1.0
8790,,47,4034692.0,WFH,easy,part,,1.0
8804,,25,3242504.0,Not WFH,easy,part,,1.0
8809,,3,4642903.0,WFH,easy,not clear,,1.0
8813,,34,3885936.0,Not WFH,easy,full,,1.0
8815,,34,5561542.0,WFH,easy,full,,1.0
8826,,11,2504015.0,Not WFH,easy,part,,1.0
8839,,3,4619930.0,WFH,easy,not clear,,1.0
8845,,3,5017505.0,WFH,easy,not clear,,1.0
8854,,49,4394401.0,Not WFH,hard,full,2024-07-16 14:52:05.993266,1.0
8855,,8,3946337.0,Not WFH,easy,not clear,,1.0
8857,,20,4337897.0,Not WFH,medium,full,,1.0
8861,,34,3873633.0,Not WFH,easy,full,,1.0
8885,,37,5523408.0,Not WFH,easy,full,,1.0
8886,,52,5319440.0,WFH,easy,full,2024-08-01 02:47:21.426785,1.0
8893,,34,4070273.0,WFH,easy,not clear,,1.0
8894,,11,4103941.0,WFH,easy,not clear,,1.0
8897,,34,1729934.0,Not WFH,medium,not clear,,1.0
8920,,8,3034478.0,Not WFH,medium,full,,1.0
8927,,8,3922668.0,Not WFH,easy,full,,1.0
8930,,11,4012667.0,WFH,easy,not clear,,1.0
8936,,34,1988210.0,Not WFH,hard,full,,1.0
8950,,31,4154962.0,WFH,easy,full,,1.0
8960,,34,3215461.0,Not WFH,easy,part,,1.0
8971,,23,2866646.0,Not WFH,medium,full,,1.0
8980,,8,1580024.0,Not WFH,easy,part,,1.0
8981,,2,4124189.0,Not WFH,easy,full,2024-07-22 22:55:55.605739,1.0
8987,,21,5136723.0,WFH,medium,full,,1.0
8993,,9,4112158.0,WFH,easy,full,,1.0
9005,,44,5270751.0,Not WFH,easy,full,,1.0
9009,,28,4035885.0,Not WFH,easy,full,,1.0
9017,,11,4138649.0,WFH,easy,not clear,,1.0
9021,,39,3834686.0,WFH,medium,full,,1.0
9022,,11,4100056.0,WFH,easy,full,,1.0
9026,,11,3260437.0,Not WFH,medium,full,,1.0
9041,,34,4031283.0,WFH,easy,full,,1.0
9046,,34,4189277.0,Not WFH,easy,full,,1.0
9048,,8,3851332.0,Not WFH,easy,full,,1.0
9067,,49,5478897.0,WFH,easy,not clear,2024-08-14 14:41:24.951957,1.0
9069,,48,4114840.0,Not WFH,easy,full,,1.0
9076,,34,4002448.0,Not WFH,easy,full,,1.0
9084,,8,3010030.0,Not WFH,easy,full,,1.0
9092,,11,457993.0,Not WFH,easy,part,,1.0
9094,,14,5553469.0,WFH,medium,not clear,,1.0
9095,,8,3875777.0,Not WFH,medium,full,,1.0
9113,,24,3890648.0,Not WFH,medium,not clear,,1.0
9121,,11,1748221.0,Not WFH,medium,full,,1.0
9135,,8,243487.0,Not WFH,medium,full,,1.0
9151,,8,1251967.0,Not WFH,easy,full,,1.0
9161,,23,344365.0,Not WFH,easy,full,,1.0
9176,,34,3930374.0,Not WFH,easy,full,,1.0
9180,,32,4279002.0,WFH,easy,not clear,,1.0
9184,,29,4181607.0,Not WFH,medium,not clear,,1.0
9192,,34,3860039.0,WFH,medium,not clear,,1.0
9200,,39,3975184.0,Not WFH,easy,full,,1.0
9202,,34,3842107.0,Not WFH,medium,full,,1.0
9208,,35,1905884.0,Not WFH,easy,part,,1.0
9209,,38,4141771.0,WFH,easy,not clear,2024-07-15 23:33:05.894167,1.0
9217,,2,5543464.0,Not WFH,medium,not clear,2024-07-19 04:22:19.636306,1.0
9219,,34,636249.0,Not WFH,easy,full,,1.0
9221,,34,5273789.0,WFH,easy,full,,1.0
9239,,15,4195353.0,Not WFH,easy,full,2024-07-18 03:40:40.471719,1.0
9240,,22,541338.0,Not WFH,easy,full,,1.0
9262,,34,4147231.0,Not WFH,easy,part,,1.0
9271,,8,3803207.0,Not WFH,medium,full,,1.0
9279,,48,4115492.0,Not WFH,easy,full,,1.0
9284,,35,3143326.0,Not WFH,easy,not clear,,1.0
9298,,32,3934609.0,Not WFH,easy,full,,1.0
9303,,24,5478071.0,Not WFH,easy,full,,1.0
9316,,48,4121065.0,Not WFH,easy,full,,1.0
9345,,34,3959890.0,Not WFH,easy,full,,1.0
9353,,43,5495968.0,Not WFH,medium,full,,1.0
9358,,48,5653177.0,Not WFH,easy,full,,1.0
9365,,36,4141501.0,WFH,easy,full,,1.0
9375,,23,5172661.0,WFH,easy,not clear,,1.0
9376,,26,5062291.0,Not WFH,medium,not clear,2024-07-16 18:27:01.66061,1.0
9389,,26,5169682.0,Not WFH,easy,full,2024-07-17 01:33:20.25441,1.0
9394,,47,5145901.0,WFH,easy,not clear,,1.0
9398,,17,4549821.0,Not WFH,easy,full,,1.0
9401,,8,4063542.0,WFH,easy,full,,1.0
9413,,7,235840.0,Not WFH,easy,full,,1.0
9423,,17,3936516.0,Not WFH,easy,full,,1.0
9426,,34,1562510.0,Not WFH,hard,full,,1.0
9433,,19,3432010.0,Not WFH,easy,full,,1.0
9438,,48,5444700.0,WFH,easy,not clear,,1.0
9444,,8,3668216.0,Not WFH,easy,full,,1.0
9446,,11,4564873.0,Not WFH,medium,full,,1.0
9448,,34,5569243.0,WFH,medium,part,,1.0
9452,,11,2371034.0,Not WFH,easy,full,,1.0
9458,,41,5442077.0,WFH,easy,not clear,,1.0
9462,,8,4085837.0,WFH,easy,full,,1.0
9463,,29,3925956.0,Not WFH,easy,not clear,,1.0
9466,,28,3896990.0,Not WFH,easy,full,,1.0
9468,,2,5594445.0,WFH,easy,full,2024-07-24 05:14:34.311435,1.0
9473,,32,3917339.0,Not WFH,easy,not clear,,1.0
9481,,34,3243978.0,Not WFH,easy,full,,1.0
9483,,15,4528842.0,WFH,easy,not clear,2024-07-18 03:06:08.758572,1.0
9488,,21,5324486.0,Not WFH,easy,full,,1.0
9494,,24,3384685.0,Not WFH,medium,not clear,,1.0
9495,,52,5416375.0,Not WFH,easy,full,2024-07-31 18:44:16.589223,1.0
9497,,30,844082.0,Not WFH,easy,not clear,,1.0
9498,,48,4131623.0,Not WFH,easy,full,,1.0
9505,,48,5402921.0,Not WFH,easy,full,,1.0
9506,,31,2209754.0,Not WFH,easy,full,,1.0
9514,,8,3612085.0,Not WFH,easy,full,,1.0
9515,,8,1363269.0,Not WFH,easy,full,,1.0
9526,,11,3408781.0,Not WFH,medium,full,,1.0
9536,,8,3973417.0,Not WFH,easy,full,,1.0
9561,,21,356762.0,Not WFH,easy,part,,1.0
9565,,11,5651885.0,WFH,easy,not clear,,1.0
9581,,38,4154106.0,Not WFH,easy,full,2024-07-24 04:50:52.284988,1.0
9594,,43,3970039.0,Not WFH,easy,full,,1.0
9596,,11,5190258.0,Not WFH,easy,part,,1.0
9613,,28,4130530.0,WFH,easy,full,,1.0
9616,,11,4149839.0,WFH,easy,not clear,,1.0
9618,,26,5378811.0,WFH,easy,not clear,2024-07-20 21:23:44.91268,1.0
9620,,46,4659505.0,WFH,easy,full,,1.0
9641,,9,778745.0,WFH,medium,part,,1.0
9645,,39,4517327.0,WFH,easy,not clear,,1.0
9649,,41,4093338.0,Not WFH,easy,full,,1.0
9650,,26,4128339.0,Not WFH,medium,not clear,2024-07-22 03:05:31.04479,1.0
9651,,9,3966245.0,Not WFH,easy,full,,1.0
9654,,34,4255543.0,WFH,easy,not clear,,1.0
9656,,11,3839008.0,Not WFH,medium,full,,1.0
9666,,31,4036986.0,Not WFH,easy,part,,1.0
9683,,8,3904863.0,Not WFH,medium,full,,1.0
9685,,37,528344.0,Not WFH,easy,not clear,,1.0
9701,,35,5516718.0,Not WFH,easy,full,,1.0
9717,,27,4164998.0,Not WFH,easy,full,,1.0
9720,,17,670771.0,Not WFH,medium,part,,1.0
9741,,14,5411506.0,WFH,easy,not clear,,1.0
9752,,50,5467316.0,WFH,easy,not clear,,1.0
9760,,37,4158229.0,WFH,easy,part,,1.0
9765,,34,5512174.0,WFH,easy,not clear,,1.0
9766,,8,2038672.0,Not WFH,medium,full,,1.0
9772,,8,4031869.0,WFH,easy,full,,1.0
9776,,26,4142668.0,WFH,easy,full,2024-07-25 05:39:39.249357,1.0
9788,,47,861418.0,Not WFH,easy,full,,1.0
9804,,11,3876480.0,Not WFH,easy,full,,1.0
9812,,28,3674256.0,Not WFH,easy,part,,1.0
9822,,49,4588333.0,WFH,easy,not clear,2024-07-20 21:34:47.854675,1.0
9832,,30,3817460.0,Not WFH,easy,full,,1.0
9839,,8,3278726.0,Not WFH,easy,part,,1.0
9842,,34,3870268.0,Not WFH,easy,full,,1.0
9849,,11,5624129.0,Not WFH,hard,full,,1.0
9871,,39,3986733.0,Not WFH,easy,full,,1.0
9877,,11,699874.0,Not WFH,easy,full,,1.0
9881,,52,4518318.0,WFH,easy,full,2024-08-14 15:43:15.091393,1.0
9884,,28,5296726.0,WFH,medium,full,,1.0
9901,,11,5640670.0,Not WFH,easy,not clear,,1.0
9903,,34,4117939.0,WFH,easy,full,,1.0
9912,,11,5657326.0,WFH,easy,full,,1.0
9913,,11,4076185.0,WFH,easy,full,,1.0
9933,,34,377206.0,Not WFH,easy,full,,1.0
9940,,8,4061619.0,WFH,easy,full,,1.0
9944,,46,740288.0,Not WFH,easy,part,,1.0
9948,,34,3876379.0,Not WFH,easy,full,,1.0
9962,,35,3272751.0,Not WFH,medium,full,,1.0
9968,,22,3637327.0,Not WFH,easy,not clear,,1.0
9973,,48,5633728.0,WFH,easy,not clear,,1.0
9982,,15,5510267.0,WFH,easy,not clear,2024-07-25 03:58:24.709946,1.0
9985,,17,4018774.0,Not WFH,medium,full,,1.0
9998,,2,4132023.0,WFH,easy,part,2024-07-22 20:32:53.348612,1.0
9999,,50,1329432.0,Not WFH,easy,part,,1.0
10005,,8,431676.0,Not WFH,easy,full,,1.0
10021,,24,5523817.0,Not WFH,easy,full,,1.0
10025,,34,3968936.0,Not WFH,medium,full,,1.0
10027,,34,340076.0,Not WFH,easy,full,,1.0
10035,,11,924478.0,Not WFH,easy,full,,1.0
10043,,8,3810131.0,Not WFH,easy,full,,1.0
10052,,11,4238290.0,WFH,easy,full,,1.0
10063,,8,4091739.0,Not WFH,medium,full,,1.0
10069,,8,3986659.0,Not WFH,easy,full,,1.0
10070,,11,3941835.0,Not WFH,easy,full,,1.0
10080,,2,5481676.0,WFH,easy,full,2024-07-24 04:22:56.70455,1.0
10081,,34,5075317.0,WFH,medium,not clear,,1.0
10090,,8,910196.0,Not WFH,easy,full,,1.0
10094,,33,5469736.0,WFH,easy,full,,1.0
10107,,45,3880177.0,Not WFH,easy,not clear,,1.0
10119,,8,3941774.0,Not WFH,easy,full,,1.0
10140,,19,3894774.0,Not WFH,easy,full,,1.0
10150,,43,3908517.0,Not WFH,easy,full,,1.0
10161,,11,4128425.0,WFH,hard,full,,1.0
10175,,25,1457255.0,Not WFH,easy,full,,1.0
10185,,52,5386087.0,WFH,easy,not clear,2024-08-14 22:14:25.810076,1.0
10187,,33,5324981.0,Not WFH,easy,full,,1.0
10190,,8,3091849.0,Not WFH,easy,full,,1.0
10192,,20,3923582.0,Not WFH,easy,part,,1.0
10194,,8,2299999.0,Not WFH,easy,full,,1.0
10195,,34,3941300.0,Not WFH,easy,full,,1.0
10197,,34,5638141.0,WFH,easy,full,,1.0
10199,,8,611002.0,Not WFH,medium,full,,1.0
10210,,47,4303893.0,WFH,easy,not clear,,1.0
10228,,34,4109130.0,WFH,easy,full,,1.0
10230,,15,5096773.0,Not WFH,easy,full,2024-07-25 15:14:18.133102,1.0
10233,,52,4130428.0,Not WFH,easy,full,2024-07-18 23:25:09.864856,1.0
10234,,34,3899573.0,Not WFH,easy,part,,1.0
10248,,36,1140162.0,Not WFH,easy,part,,1.0
10254,,49,5140823.0,Not WFH,easy,full,2024-07-24 06:12:27.236585,1.0
10256,,11,4182902.0,WFH,easy,full,,1.0
10289,,8,1277467.0,Not WFH,easy,full,,1.0
10298,,25,5259538.0,WFH,easy,not clear,,1.0
10307,,24,3615292.0,Not WFH,easy,not clear,,1.0
10321,,25,4357134.0,WFH,medium,not clear,,1.0
10326,,21,5639932.0,WFH,easy,full,,1.0
10329,,21,4063006.0,WFH,easy,full,,1.0
10347,,22,2640358.0,Not WFH,easy,not clear,,1.0
10371,,11,4098536.0,WFH,easy,full,,1.0
10388,,36,3956260.0,Not WFH,easy,full,,1.0
10389,,29,3855948.0,Not WFH,easy,full,,1.0
10394,,26,5459126.0,Not WFH,easy,full,2024-08-07 18:25:35.983509,1.0
10401,,38,4112093.0,Not WFH,medium,full,2024-07-17 21:45:06.923668,1.0
10410,,7,222267.0,Not WFH,easy,full,,1.0
10414,,52,4114375.0,Not WFH,easy,full,2024-07-25 05:55:56.592683,1.0
10415,,28,2817862.0,Not WFH,easy,full,,1.0
10418,,11,5630666.0,WFH,easy,full,,1.0
10423,,8,2232099.0,WFH,easy,full,,1.0
10428,,11,5180284.0,Not WFH,easy,not clear,,1.0
10433,,19,1122743.0,Not WFH,easy,part,,1.0
10447,,11,3926981.0,Not WFH,easy,full,,1.0
10454,,11,4072452.0,WFH,easy,not clear,,1.0
10458,,47,3590108.0,Not WFH,medium,full,,1.0
10465,,8,3338385.0,Not WFH,medium,full,,1.0
10468,,28,3054421.0,Not WFH,medium,full,,1.0
10474,,34,3296124.0,WFH,easy,not clear,,1.0
10495,,34,762198.0,Not WFH,medium,full,,1.0
10502,,13,346387.0,Not WFH,medium,full,,1.0
10506,,9,4147808.0,Not WFH,easy,full,,1.0
10515,,34,5363784.0,Not WFH,easy,not clear,,1.0
10530,,8,3875161.0,Not WFH,easy,full,,1.0
10534,,3,4152023.0,Not WFH,easy,full,,1.0
10537,,34,4384052.0,WFH,easy,full,,1.0
10539,,34,4046121.0,WFH,medium,not clear,,1.0
10540,,34,4087866.0,WFH,easy,full,,1.0
10552,,8,1765399.0,WFH,easy,full,,1.0
10562,,34,381413.0,Not WFH,easy,full,,1.0
10575,,8,4028531.0,WFH,easy,part,,1.0
10585,,9,5502731.0,WFH,easy,full,,1.0
10596,,34,5133052.0,WFH,easy,full,,1.0
10602,,17,3520063.0,Not WFH,easy,full,,1.0
10608,,8,4049955.0,Not WFH,easy,full,,1.0
10621,,8,3924541.0,Not WFH,easy,full,,1.0
10628,,35,5434817.0,Not WFH,easy,full,,1.0
10634,,9,4120507.0,WFH,easy,not clear,,1.0
10645,,24,696643.0,Not WFH,easy,full,,1.0
10649,,8,477741.0,Not WFH,medium,full,,1.0
10651,,8,1118287.0,WFH,easy,full,,1.0
10659,,30,3901326.0,Not WFH,easy,full,,1.0
